,depth,auc,se,fit_times,mean_fit_time,total_fit_time,compute_score_times,mean_compute_score_time,total_compute_score_time
0,1,0.5626766212963716,0.004957918834645526,"[0.04373502731323242, 0.04327106475830078, 0.04273581504821777, 0.04315900802612305, 0.043582916259765625, 0.042752981185913086, 0.043675899505615234, 0.042714834213256836, 0.04209613800048828, 0.043006181716918945]",0.043072986602783206,0.43072986602783203,"[1.5020370483398438e-05, 1.0967254638671875e-05, 1.3113021850585938e-05, 2.5033950805664062e-05, 1.5020370483398438e-05, 2.002716064453125e-05, 1.8835067749023438e-05, 2.0265579223632812e-05, 2.193450927734375e-05, 2.2172927856445312e-05]",1.823902130126953e-05,0.0001823902130126953
1,2,0.5837517705943869,0.005115999842464472,"[0.0677940845489502, 0.06586122512817383, 0.0641012191772461, 0.06638884544372559, 0.06428813934326172, 0.06405091285705566, 0.0647883415222168, 0.06427907943725586, 0.06632804870605469, 0.0649881362915039]",0.06528680324554444,0.6528680324554443,"[1.3828277587890625e-05, 1.7881393432617188e-05, 2.6226043701171875e-05, 1.3113021850585938e-05, 1.9073486328125e-05, 1.4066696166992188e-05, 2.8133392333984375e-05, 1.4066696166992188e-05, 1.4066696166992188e-05, 1.7881393432617188e-05]",1.7833709716796874e-05,0.00017833709716796875
2,3,0.5821253772428028,0.005142202516928375,"[0.08650612831115723, 0.08527588844299316, 0.08137392997741699, 0.0848550796508789, 0.08101701736450195, 0.08176493644714355, 0.08271002769470215, 0.08116602897644043, 0.08405780792236328, 0.08370709419250488]",0.08324339389801025,0.8324339389801025,"[2.4080276489257812e-05, 1.9073486328125e-05, 1.1920928955078125e-05, 2.6941299438476562e-05, 1.6927719116210938e-05, 1.6927719116210938e-05, 1.3113021850585938e-05, 1.7881393432617188e-05, 1.811981201171875e-05, 2.09808349609375e-05]",1.8596649169921875e-05,0.00018596649169921875
3,4,0.5817087288736856,0.005143407896858873,"[0.07949113845825195, 0.07964491844177246, 0.08150386810302734, 0.08134627342224121, 0.08184504508972168, 0.07781767845153809, 0.07889366149902344, 0.07744884490966797, 0.07951092720031738, 0.08508110046386719]",0.08025834560394288,0.8025834560394287,"[2.09808349609375e-05, 2.002716064453125e-05, 2.574920654296875e-05, 2.002716064453125e-05, 1.7881393432617188e-05, 1.7881393432617188e-05, 2.7894973754882812e-05, 2.002716064453125e-05, 1.7881393432617188e-05, 2.002716064453125e-05]",2.0837783813476564e-05,0.00020837783813476562
4,5,0.5816495319877306,0.005143760483311821,"[0.09238195419311523, 0.23294830322265625, 0.08835291862487793, 0.11016416549682617, 0.13516497611999512, 0.08653998374938965, 0.10317230224609375, 0.0893092155456543, 0.08952498435974121, 0.08715200424194336]",0.11147108078002929,1.114710807800293,"[1.6927719116210938e-05, 1.7881393432617188e-05, 2.09808349609375e-05, 2.2172927856445312e-05, 1.4781951904296875e-05, 2.09808349609375e-05, 1.9788742065429688e-05, 2.193450927734375e-05, 1.9073486328125e-05, 2.193450927734375e-05]",1.964569091796875e-05,0.0001964569091796875
