,lead_lag,time_diff,inv_reset,thres_distance,auc,se,total_fit_time,total_compute_score_time
0,False,False,False,4000,0.48361208,0.005747371156857112,0.21697711944580078,4.076957702636719e-05
1,False,False,False,8000,0.5002137600000001,0.005737791868719882,0.19842004776000977,2.288818359375e-05
2,False,False,False,16000,0.49101138,0.005779904995239717,0.1875462532043457,2.002716064453125e-05
3,False,False,False,32000,0.4917866,0.005826900310597595,0.18355202674865723,2.9087066650390625e-05
4,False,False,True,4000,0.56456656,0.00574883370619712,0.36579418182373047,0.00022602081298828125
5,False,False,True,8000,0.5724048399999999,0.00575188505504852,0.1783769130706787,5.793571472167969e-05
6,False,False,True,16000,0.56158448,0.0057501349945403265,0.1926569938659668,0.00020599365234375
7,False,False,True,32000,0.519609,0.005799924727347271,0.1712629795074463,3.504753112792969e-05
8,False,True,False,4000,0.51113464,0.005706486024922995,0.16364693641662598,3.1948089599609375e-05
9,False,True,False,8000,0.50543662,0.005747222108949842,0.1905980110168457,3.0994415283203125e-05
10,False,True,False,16000,0.49285201999999995,0.005781577755871774,0.15372610092163086,2.4080276489257812e-05
11,False,True,False,32000,0.49404200000000004,0.005837304734152336,0.15796709060668945,0.00020313262939453125
12,False,True,True,4000,0.56462144,0.005748996427222896,0.22845101356506348,2.8848648071289062e-05
13,False,True,True,8000,0.5724176000000001,0.0057519814159223085,0.23104405403137207,2.9087066650390625e-05
14,False,True,True,16000,0.56148588,0.005748114660671888,0.22298002243041992,3.790855407714844e-05
15,False,True,True,32000,0.51975136,0.005800760134231821,0.2200608253479004,2.8848648071289062e-05
16,True,False,False,4000,0.48362456,0.005747314612019211,0.26079893112182617,0.0016398429870605469
17,True,False,False,8000,0.50035246,0.005737509658880544,0.2184898853302002,2.7894973754882812e-05
18,True,False,False,16000,0.49141512,0.005780028679646428,0.22427582740783691,2.9802322387695312e-05
19,True,False,False,32000,0.49289051999999994,0.005825147756730053,0.23501014709472656,0.0002677440643310547
20,True,False,True,4000,0.56431072,0.0057445926134595164,0.33975791931152344,2.8848648071289062e-05
21,True,False,True,8000,0.5688003199999999,0.005753458199483966,0.33391404151916504,0.00021505355834960938
22,True,False,True,16000,0.5575087599999999,0.005751745607034728,0.327394962310791,0.00026297569274902344
23,True,False,True,32000,0.51762772,0.005795673453326612,0.313676118850708,3.790855407714844e-05
24,True,True,False,4000,0.53017824,0.00571398678729911,0.5546829700469971,2.8848648071289062e-05
25,True,True,False,8000,0.53255298,0.005740906127936699,0.5930912494659424,2.1696090698242188e-05
26,True,True,False,16000,0.55253412,0.005792755690525107,0.5040469169616699,2.47955322265625e-05
27,True,True,False,32000,0.5996724,0.00576767359648595,0.5831358432769775,2.8133392333984375e-05
28,True,True,True,4000,0.57367172,0.005714777587030407,0.8454651832580566,3.0994415283203125e-05
29,True,True,True,8000,0.5883878,0.0056954035355251805,0.8575239181518555,3.5762786865234375e-05
30,True,True,True,16000,0.58916766,0.005672553223482108,0.8886191844940186,3.3855438232421875e-05
31,True,True,True,32000,0.58448484,0.005721121559281426,0.8086929321289062,3.2901763916015625e-05
