,depth,auc,se,fit_times,mean_fit_time,total_fit_time,compute_score_times,mean_compute_score_time,total_compute_score_time
0,1,0.8696934836278613,0.0022577909118422237,"[4.044831991195679, 0.24622797966003418, 0.25603199005126953, 0.23249387741088867, 0.26061201095581055, 0.22504806518554688, 0.28873419761657715, 0.22968792915344238, 0.21238398551940918, 0.22435688972473145]",0.6220408916473389,6.220408916473389,"[1.1842901706695557, 1.2478530406951904, 1.1077587604522705, 1.2112221717834473, 1.1209280490875244, 1.0537610054016113, 1.0568978786468506, 1.1509590148925781, 1.0784080028533936, 1.208385705947876]",1.1420463800430298,11.420463800430298
1,2,0.9420610228996693,0.001534286527879381,"[0.22408676147460938, 0.3753981590270996, 0.28214502334594727, 0.2886838912963867, 0.3486518859863281, 0.31030821800231934, 0.2509932518005371, 0.2735331058502197, 0.22110509872436523, 0.24820899963378906]",0.28231143951416016,2.8231143951416016,"[1.0840401649475098, 1.0362977981567383, 1.1633048057556152, 1.236259937286377, 1.2171759605407715, 1.3334558010101318, 1.1705090999603271, 1.0829851627349854, 1.0932879447937012, 1.1105279922485352]",1.1527844667434692,11.527844667434692
2,3,0.9483626263025813,0.0015001563858763392,"[0.22539901733398438, 0.2381281852722168, 0.2897763252258301, 0.21373915672302246, 0.261167049407959, 0.260998010635376, 0.31142115592956543, 0.28664207458496094, 0.31892991065979004, 0.20761513710021973]",0.26138160228729246,2.613816022872925,"[1.1194698810577393, 1.0866608619689941, 1.151174783706665, 1.1736140251159668, 1.1715431213378906, 1.1419639587402344, 1.206186056137085, 1.2070918083190918, 1.3255419731140137, 1.1519970893859863]",1.1735243558883668,11.735243558883667
3,4,0.9537724262122033,0.0014253017221274328,"[0.23873019218444824, 0.22207999229431152, 0.22790217399597168, 0.2621269226074219, 0.22788095474243164, 0.23716187477111816, 0.2587778568267822, 0.2527048587799072, 0.21790504455566406, 0.21393585205078125]",0.23592057228088378,2.359205722808838,"[1.5563900470733643, 1.3713111877441406, 1.3123347759246826, 1.315377950668335, 1.4088609218597412, 1.3941872119903564, 1.414308786392212, 1.3646588325500488, 1.3383049964904785, 1.339143991470337]",1.3814878702163695,13.814878702163696
4,5,0.9561069665118339,0.0013886514247386079,"[0.2440199851989746, 0.26087307929992676, 0.2590029239654541, 0.26955604553222656, 0.29588913917541504, 0.2990570068359375, 0.3434009552001953, 0.2820301055908203, 0.2760500907897949, 0.3209660053253174]",0.28508453369140624,2.8508453369140625,"[1.805534839630127, 1.758540153503418, 1.6346871852874756, 1.5703339576721191, 1.7670540809631348, 1.5861339569091797, 1.834364891052246, 1.593393087387085, 2.033168077468872, 1.7054362297058105]",1.7288646459579469,17.288646459579468
