,dataset,conformance,conformance standard deviation,ADSL,ADSL standard deviation
0,Adiac,0.9980263157894738,0.13311567891120638,0.99,0.1
1,ArrowHead,0.7657342657342657,0.08107063913952131,0.65,0.03
2,Beef,0.9791666666666667,0.1841423909339968,0.57,0.15
3,BeetleFly,0.8157894736842105,0.2017543859649123,0.9,0.08
4,BirdChicken,0.8421052631578947,0.1058008925785679,0.85,0.15
5,CBF,0.8575180390492361,0.03378834592405187,0.8,0.04
6,ChlorineConcentration,0.8775581573308846,0.01258450028443959,0.5,0.0
7,Coffee,0.6794871794871795,0.12973446810947198,0.84,0.04
8,ECG200,0.7515024038461539,0.0738131755431423,0.5,0.03
9,ECGFiveDays,0.8078902229845626,0.017788849841171014,0.94,0.11
10,FaceFour,0.7723577235772358,0.08691120710474025,0.94,0.1
11,GunPoint,0.8078125,0.07041414977421744,0.75,0.03
12,Ham,0.5262572318647085,0.032335876796299935,0.5,0.02
13,Herring,0.5270833333333333,0.06538149266675802,0.52,0.02
14,Lightning2,0.741304347826087,0.06543281650793029,0.63,0.07
15,Lightning7,0.8373983739837398,0.09126276545801985,0.73,0.11
16,Meat,0.8966346153846154,0.07300007361421368,1.0,0.04
17,MedicalImages,0.9643510054844606,0.027056653380470815,0.9,0.03
18,MoteStrain,0.8529001564129302,0.020455230040007114,0.74,0.01
19,Plane,1.0,0.03631417548920856,1.0,0.04
20,Strawberry,0.8759824318076745,0.025698903851922014,0.77,0.03
21,Symbols,1.0,0.02072600606717005,0.96,0.02
22,ToeSegmentation1,0.7437060889929743,0.03702901241414963,0.95,0.01
23,ToeSegmentation2,0.7854054054054054,0.05472733839731785,0.88,0.02
24,Trace,1.0,0.04536289882588173,1.0,0.04
25,TwoLeadECG,0.8171038808552713,0.021459529740233723,0.89,0.01
26,Wafer,0.8203372159907967,0.028878010408887083,0.56,0.02
27,Wine,0.7840909090909092,0.1007109095144228,0.53,0.02
