,depth,auc,se,fit_times,mean_fit_time,total_fit_time,compute_score_times,mean_compute_score_time,total_compute_score_time
0,1,0.8878908733421285,0.0024637706709514577,"[0.05082893371582031, 0.047516822814941406, 0.04784202575683594, 0.04734635353088379, 0.0490260124206543, 0.07492709159851074, 0.046830177307128906, 0.048964738845825195, 0.04812002182006836, 0.047074079513549805]",0.050847625732421874,0.5084762573242188,"[0.014255046844482422, 0.015080928802490234, 0.011804819107055664, 0.014419794082641602, 0.011832952499389648, 0.020180940628051758, 0.011755943298339844, 0.01407623291015625, 0.014071226119995117, 0.013453245162963867]",0.014093112945556641,0.1409311294555664
1,2,0.9308488838894353,0.0023388880229593873,"[0.04678916931152344, 0.04589271545410156, 0.04607892036437988, 0.04491019248962402, 0.04464983940124512, 0.04882621765136719, 0.04530501365661621, 0.04673290252685547, 0.046385765075683594, 0.04793691635131836]",0.04635076522827149,0.46350765228271484,"[0.010293006896972656, 0.015023946762084961, 0.0123748779296875, 0.0114898681640625, 0.011452913284301758, 0.013210773468017578, 0.012288808822631836, 0.012288808822631836, 0.011820077896118164, 0.013416051864624023]",0.012365913391113282,0.12365913391113281
2,3,0.9164475228641275,0.002923818711445014,"[0.044999122619628906, 0.046234846115112305, 0.04647183418273926, 0.04492807388305664, 0.06322193145751953, 0.047325849533081055, 0.04457592964172363, 0.04507279396057129, 0.04557013511657715, 0.04461407661437988]",0.04730145931243897,0.47301459312438965,"[0.010683059692382812, 0.014012336730957031, 0.011758089065551758, 0.010924100875854492, 0.011939048767089844, 0.01168680191040039, 0.011539220809936523, 0.011860847473144531, 0.01122426986694336, 0.011748075485229492]",0.011737585067749023,0.11737585067749023
3,4,0.8751794658161638,0.003542766967550884,"[0.04493522644042969, 0.044239044189453125, 0.045662879943847656, 0.04426884651184082, 0.04485893249511719, 0.045181989669799805, 0.04481816291809082, 0.0450739860534668, 0.04426097869873047, 0.04489016532897949]",0.04481902122497559,0.44819021224975586,"[0.009649276733398438, 0.012599945068359375, 0.010965108871459961, 0.01117706298828125, 0.010987043380737305, 0.010141849517822266, 0.011087894439697266, 0.011382102966308594, 0.010560035705566406, 0.010883092880249023]",0.010943341255187988,0.10943341255187988
4,5,0.8343662141115131,0.004039439337523735,"[0.043366193771362305, 0.04369711875915527, 0.043717145919799805, 0.04396700859069824, 0.04398012161254883, 0.043946027755737305, 0.043977975845336914, 0.044261932373046875, 0.04488825798034668, 0.043923139572143555]",0.04397249221801758,0.4397249221801758,"[0.009205102920532227, 0.01191091537475586, 0.010522127151489258, 0.010547876358032227, 0.01054692268371582, 0.009436845779418945, 0.010385990142822266, 0.01034402847290039, 0.010164976119995117, 0.009605169296264648]",0.010266995429992676,0.10266995429992676
