,lead_lag,time_diff,inv_reset,thres_distance,auc,se,total_fit_time,total_compute_score_time
0,False,False,False,4000,0.54263728,0.005785654503409075,0.17626094818115234,0.0001628398895263672
1,False,False,False,8000,0.541594,0.005783365981755112,0.16921377182006836,0.0001709461212158203
2,False,False,False,16000,0.52233212,0.005814201871838832,0.16814208030700684,2.5987625122070312e-05
3,False,False,False,32000,0.51322064,0.005776260411033737,0.16188287734985352,2.09808349609375e-05
4,False,False,True,4000,0.5550816599999999,0.005691462339909039,0.2521789073944092,0.00017523765563964844
5,False,False,True,8000,0.585062,0.005731914234273733,0.24285316467285156,0.00017380714416503906
6,False,False,True,16000,0.56408484,0.00575981210791881,0.239516019821167,3.1948089599609375e-05
7,False,False,True,32000,0.53481248,0.005777815070970553,0.23338818550109863,2.002716064453125e-05
8,False,True,False,4000,0.5470988,0.005791206381276413,0.20212197303771973,2.47955322265625e-05
9,False,True,False,8000,0.5428839599999999,0.005781964397691255,0.1865689754486084,2.09808349609375e-05
10,False,True,False,16000,0.52635868,0.005806692247055492,0.17721915245056152,2.002716064453125e-05
11,False,True,False,32000,0.5196301999999999,0.00577578908464275,0.17511200904846191,1.8835067749023438e-05
12,False,True,True,4000,0.5587073,0.005679048099663801,0.4536619186401367,1.9311904907226562e-05
13,False,True,True,8000,0.5887584800000001,0.005726328270782589,0.28851985931396484,0.0001621246337890625
14,False,True,True,16000,0.57187538,0.005756886838753251,0.29015207290649414,2.5033950805664062e-05
15,False,True,True,32000,0.54469196,0.005779107400659718,0.27776479721069336,0.00017595291137695312
16,True,False,False,4000,0.54257468,0.005785920727297019,0.20377278327941895,0.0002110004425048828
17,True,False,False,8000,0.5414619999999999,0.005783206229384499,0.20701122283935547,2.288818359375e-05
18,True,False,False,16000,0.52227068,0.005814200485238105,0.2016139030456543,1.8835067749023438e-05
19,True,False,False,32000,0.51312188,0.005775649434933972,0.20054292678833008,2.5987625122070312e-05
20,True,False,True,4000,0.56630512,0.00572610522212301,0.335813045501709,2.5033950805664062e-05
21,True,False,True,8000,0.5558534,0.005777081779671638,0.1360628604888916,0.00024199485778808594
22,True,False,True,16000,0.5422356799999999,0.00578010389914683,0.13010406494140625,0.0002040863037109375
23,True,False,True,32000,0.53275664,0.005771752331858847,0.12711024284362793,2.574920654296875e-05
24,True,True,False,4000,0.54714788,0.005790591766328721,0.21692609786987305,3.5762786865234375e-05
25,True,True,False,8000,0.542744,0.005781864004273191,0.148331880569458,2.193450927734375e-05
26,True,True,False,16000,0.5263770799999999,0.005806539765306656,0.16158795356750488,4.029273986816406e-05
27,True,True,False,32000,0.5197008,0.005775208790004885,0.15694403648376465,2.4080276489257812e-05
28,True,True,True,4000,0.57221184,0.005716197131033418,0.15517425537109375,2.7894973754882812e-05
29,True,True,True,8000,0.5629232,0.005757973414626215,0.15548205375671387,2.8133392333984375e-05
30,True,True,True,16000,0.55433928,0.005779023383346398,0.16120696067810059,2.9087066650390625e-05
31,True,True,True,32000,0.5444726,0.005757019424091787,0.15772485733032227,0.00016999244689941406
