,lead_lag,time_diff,inv_reset,thres_distance,auc,se,total_fit_time,total_compute_score_time
0,False,False,False,4000,0.71437284,0.005143804183972085,0.056285858154296875,0.042137861251831055
1,False,False,False,8000,0.7119333000000001,0.0051237195028698106,0.05273795127868652,0.03856611251831055
2,False,False,False,16000,0.72737242,0.005020696377643174,0.052256107330322266,0.039340972900390625
3,False,False,False,32000,0.7271547,0.0050204411445472314,0.051056861877441406,0.035720109939575195
4,False,False,True,4000,0.78050078,0.00455446345873691,0.053277015686035156,0.03724217414855957
5,False,False,True,8000,0.7846718199999999,0.00459145233606352,0.053070783615112305,0.039010047912597656
6,False,False,True,16000,0.7761235200000001,0.00466721179286428,0.0548090934753418,0.03504586219787598
7,False,False,True,32000,0.79025718,0.004563578588341063,0.053977012634277344,0.03638601303100586
8,False,True,False,4000,0.7671586000000001,0.004764996445848212,0.0543210506439209,0.033840179443359375
9,False,True,False,8000,0.7716626400000001,0.0046897380655969816,0.053713083267211914,0.03501105308532715
10,False,True,False,16000,0.78599302,0.004506138136121478,0.05280017852783203,0.03152108192443848
11,False,True,False,32000,0.80372736,0.004261700455413312,0.05314493179321289,0.029465913772583008
12,False,True,True,4000,0.829534,0.004172237128537197,0.05344057083129883,0.034776926040649414
13,False,True,True,8000,0.8234266000000001,0.004237827828392049,0.05570721626281738,0.03321480751037598
14,False,True,True,16000,0.8307063,0.00412431039951364,0.05028414726257324,0.034091949462890625
15,False,True,True,32000,0.82758002,0.004120702901312363,0.05071306228637695,0.03396296501159668
16,True,False,False,4000,0.6961093199999999,0.0052851803852631005,0.05382037162780762,0.043021202087402344
17,True,False,False,8000,0.7037148599999999,0.005175157332504415,0.057108163833618164,0.04098701477050781
18,True,False,False,16000,0.7107197199999999,0.005147337642222179,0.054284095764160156,0.039527177810668945
19,True,False,False,32000,0.72369028,0.00506591664364012,0.05395698547363281,0.03733468055725098
20,True,False,True,4000,0.75764924,0.004745043132550002,0.05380606651306152,0.03680992126464844
21,True,False,True,8000,0.75921532,0.004812776111564548,0.056166887283325195,0.03761887550354004
22,True,False,True,16000,0.76659386,0.0047360322035158746,0.051445722579956055,0.034809112548828125
23,True,False,True,32000,0.77331814,0.004713146327760404,0.049783945083618164,0.034905195236206055
24,True,True,False,4000,0.7470116800000001,0.004888521736001528,0.051016807556152344,0.03427410125732422
25,True,True,False,8000,0.7630356,0.004729674804667085,0.05135393142700195,0.03441619873046875
26,True,True,False,16000,0.7802098599999999,0.004562301384178296,0.052752017974853516,0.03222322463989258
27,True,True,False,32000,0.78529406,0.0044387703338785835,0.052288055419921875,0.029139041900634766
28,True,True,True,4000,0.8108227400000001,0.004387381117555352,0.05066990852355957,0.031501054763793945
29,True,True,True,8000,0.81307942,0.004335231096639453,0.05293083190917969,0.030623912811279297
30,True,True,True,16000,0.80914508,0.0043138375639481495,0.05072832107543945,0.029149293899536133
31,True,True,True,32000,0.8225191199999999,0.004171213909697293,0.04958009719848633,0.02993631362915039
